ProdName,Annotations
None Printer and Scanner None Color Epson,"[(0, 4, 'Print_type'), (5, 24, 'Category'), (25, 29, 'Prod_spec'), (30, 35, 'Color_type'), (36, 41, 'Brand')]"
Epson None Printer and Scanner Wireless Color,"[(0, 5, 'Brand'), (6, 10, 'Print_type'), (11, 30, 'Category'), (31, 39, 'Prod_spec'), (40, 45, 'Color_type')]"
Color None Epson Printer and Scanner None,"[(0, 5, 'Color_type'), (6, 10, 'Prod_spec'), (11, 16, 'Brand'), (17, 36, 'Category'), (37, 41, 'Print_type')]"
Printer and Scanner Epson Color Wireless None,"[(0, 19, 'Category'), (20, 25, 'Brand'), (26, 31, 'Color_type'), (32, 40, 'Prod_spec'), (41, 45, 'Print_type')]"
Color Printer and Scanner None Brother None,"[(0, 5, 'Color_type'), (6, 25, 'Category'), (26, 30, 'Prod_spec'), (31, 38, 'Brand'), (39, 43, 'Print_type')]"
Canon None None Printer and Scanner Color,"[(0, 5, 'Brand'), (6, 10, 'Print_type'), (11, 15, 'Prod_spec'), (16, 35, 'Category'), (36, 41, 'Color_type')]"
None Monochrome None Samsung Printer and Scanner,"[(0, 4, 'Print_type'), (5, 15, 'Color_type'), (16, 20, 'Prod_spec'), (21, 28, 'Brand'), (29, 48, 'Category')]"
Printer and Scanner Color Wireless None Canon,"[(0, 19, 'Category'), (20, 25, 'Color_type'), (26, 34, 'Prod_spec'), (35, 39, 'Print_type'), (40, 45, 'Brand')]"
Wireless DeskJet HP Printer and Scanner Color,"[(0, 8, 'Prod_spec'), (9, 16, 'Print_type'), (17, 19, 'Brand'), (20, 39, 'Category'), (40, 45, 'Color_type')]"
Monochrome Brother Wireless None Printer and Scanner,"[(0, 10, 'Color_type'), (11, 18, 'Brand'), (19, 27, 'Prod_spec'), (28, 32, 'Print_type'), (33, 52, 'Category')]"
Canon None None Printer and Scanner Inkjet,"[(0, 5, 'Brand'), (6, 10, 'Color_type'), (11, 15, 'Prod_spec'), (16, 35, 'Category'), (36, 42, 'Print_type')]"
Color Canon Printer and Scanner None None,"[(0, 5, 'Color_type'), (6, 11, 'Brand'), (12, 31, 'Category'), (32, 36, 'Print_type'), (37, 41, 'Prod_spec')]"
None None Color Canon Printer and Scanner,"[(0, 4, 'Print_type'), (5, 9, 'Prod_spec'), (10, 15, 'Color_type'), (16, 21, 'Brand'), (22, 41, 'Category')]"
None Wireless Printer and Scanner HP Color,"[(0, 4, 'Print_type'), (5, 13, 'Prod_spec'), (14, 33, 'Category'), (34, 36, 'Brand'), (37, 42, 'Color_type')]"
Wireless Color Printer and Scanner Canon None,"[(0, 8, 'Prod_spec'), (9, 14, 'Color_type'), (15, 34, 'Category'), (35, 40, 'Brand'), (41, 45, 'Print_type')]"
Epson Wireless Color Printer and Scanner None,"[(0, 5, 'Brand'), (6, 14, 'Prod_spec'), (15, 20, 'Color_type'), (21, 40, 'Category'), (41, 45, 'Print_type')]"
None Printer and Scanner Brother Color None,"[(0, 4, 'Prod_spec'), (5, 24, 'Category'), (25, 32, 'Brand'), (33, 38, 'Color_type'), (39, 43, 'Print_type')]"
None Color Samsung None Printer and Scanner,"[(0, 4, 'Prod_spec'), (5, 10, 'Color_type'), (11, 18, 'Brand'), (19, 23, 'Print_type'), (24, 43, 'Category')]"
None Color Canon Printer and Scanner None,"[(0, 4, 'Print_type'), (5, 10, 'Color_type'), (11, 16, 'Brand'), (17, 36, 'Category'), (37, 41, 'Prod_spec')]"
None Wireless Color Printer and Scanner Epson,"[(0, 4, 'Print_type'), (5, 13, 'Prod_spec'), (14, 19, 'Color_type'), (20, 39, 'Category'), (40, 45, 'Brand')]"
Color None Printer and Scanner None Brother,"[(0, 5, 'Color_type'), (6, 10, 'Print_type'), (11, 30, 'Category'), (31, 35, 'Prod_spec'), (36, 43, 'Brand')]"
None Monochrome Printer and Scanner Xerox Wireless,"[(0, 4, 'Print_type'), (5, 15, 'Color_type'), (16, 35, 'Category'), (36, 41, 'Brand'), (42, 50, 'Prod_spec')]"
None None HP Printer and Scanner Color,"[(0, 4, 'Prod_spec'), (5, 9, 'Print_type'), (10, 12, 'Brand'), (13, 32, 'Category'), (33, 38, 'Color_type')]"
Wireless Printer and Scanner None Epson Color,"[(0, 8, 'Prod_spec'), (9, 28, 'Category'), (29, 33, 'Print_type'), (34, 39, 'Brand'), (40, 45, 'Color_type')]"
Wireless LaserJet Printer and Scanner Monochrome HP,"[(0, 8, 'Prod_spec'), (9, 17, 'Print_type'), (18, 37, 'Category'), (38, 48, 'Color_type'), (49, 51, 'Brand')]"
HP Printer and Scanner None DeskJet Color,"[(0, 2, 'Brand'), (3, 22, 'Category'), (23, 27, 'Prod_spec'), (28, 35, 'Print_type'), (36, 41, 'Color_type')]"
Printer and Scanner None Monochrome Samsung None,"[(0, 19, 'Category'), (20, 24, 'Print_type'), (25, 35, 'Color_type'), (36, 43, 'Brand'), (44, 48, 'Prod_spec')]"
None HP Printer and Scanner None Monochrome,"[(0, 4, 'Prod_spec'), (5, 7, 'Brand'), (8, 27, 'Category'), (28, 32, 'Print_type'), (33, 43, 'Color_type')]"
None Brother Printer and Scanner None Color,"[(0, 4, 'Print_type'), (5, 12, 'Brand'), (13, 32, 'Category'), (33, 37, 'Prod_spec'), (38, 43, 'Color_type')]"
Wireless Color Printer and Scanner HP DeskJet InkTank,"[(0, 8, 'Prod_spec'), (9, 14, 'Color_type'), (15, 34, 'Category'), (35, 37, 'Brand'), (38, 53, 'Print_type')]"
Printer and Scanner HP None Monochrome None,"[(0, 19, 'Category'), (20, 22, 'Brand'), (23, 27, 'Prod_spec'), (28, 38, 'Color_type'), (39, 43, 'Print_type')]"
Color None Printer and Scanner None HP,"[(0, 5, 'Color_type'), (6, 10, 'Prod_spec'), (11, 30, 'Category'), (31, 35, 'Print_type'), (36, 38, 'Brand')]"
Color None InkTank Epson Printer and Scanner,"[(0, 5, 'Color_type'), (6, 10, 'Prod_spec'), (11, 18, 'Print_type'), (19, 24, 'Brand'), (25, 44, 'Category')]"
None None Brother Color Printer and Scanner,"[(0, 4, 'Print_type'), (5, 9, 'Prod_spec'), (10, 17, 'Brand'), (18, 23, 'Color_type'), (24, 43, 'Category')]"
Color HP Printer and Scanner None None,"[(0, 5, 'Color_type'), (6, 8, 'Brand'), (9, 28, 'Category'), (29, 33, 'Prod_spec'), (34, 38, 'Print_type')]"
Brother Color Wireless Printer and Scanner None,"[(0, 7, 'Brand'), (8, 13, 'Color_type'), (14, 22, 'Prod_spec'), (23, 42, 'Category'), (43, 47, 'Print_type')]"
Color Inktank HP Printer and Scanner None,"[(0, 5, 'Color_type'), (6, 13, 'Print_type'), (14, 16, 'Brand'), (17, 36, 'Category'), (37, 41, 'Prod_spec')]"
Printer and Scanner None Epson Color None,"[(0, 19, 'Category'), (20, 24, 'Print_type'), (25, 30, 'Brand'), (31, 36, 'Color_type'), (37, 41, 'Prod_spec')]"
Color Printer and Scanner Brother None None,"[(0, 5, 'Color_type'), (6, 25, 'Category'), (26, 33, 'Brand'), (34, 38, 'Prod_spec'), (39, 43, 'Print_type')]"
None None Color Printer and Scanner Canon,"[(0, 4, 'Print_type'), (5, 9, 'Prod_spec'), (10, 15, 'Color_type'), (16, 35, 'Category'), (36, 41, 'Brand')]"
Color None HP InkTank Printer and Scanner,"[(0, 5, 'Color_type'), (6, 10, 'Prod_spec'), (11, 13, 'Brand'), (14, 21, 'Print_type'), (22, 41, 'Category')]"
None Color Canon None Printer and Scanner,"[(0, 4, 'Print_type'), (5, 10, 'Color_type'), (11, 16, 'Brand'), (17, 21, 'Prod_spec'), (22, 41, 'Category')]"
None Printer and Scanner Color Wireless Brother,"[(0, 4, 'Print_type'), (5, 24, 'Category'), (25, 30, 'Color_type'), (31, 39, 'Prod_spec'), (40, 47, 'Brand')]"
Laser Canon None Printer and Scanner Color,"[(0, 5, 'Print_type'), (6, 11, 'Brand'), (12, 16, 'Prod_spec'), (17, 36, 'Category'), (37, 42, 'Color_type')]"
Printer and Scanner Epson None None None,"[(0, 19, 'Category'), (20, 25, 'Brand'), (26, 30, 'Prod_spec'), (31, 35, 'Color_type'), (36, 40, 'Print_type')]"
HP None None Monochrome Printer and Scanner,"[(0, 2, 'Brand'), (3, 7, 'Prod_spec'), (8, 12, 'Print_type'), (13, 23, 'Color_type'), (24, 43, 'Category')]"
None None Monochrome Printer and Scanner PANTUM,"[(0, 4, 'Prod_spec'), (5, 9, 'Print_type'), (10, 20, 'Color_type'), (21, 40, 'Category'), (41, 47, 'Brand')]"
Color Printer and Scanner None None Brother,"[(0, 5, 'Color_type'), (6, 25, 'Category'), (26, 30, 'Print_type'), (31, 35, 'Prod_spec'), (36, 43, 'Brand')]"
InkTank Printer and Scanner HP Color None,"[(0, 7, 'Print_type'), (8, 27, 'Category'), (28, 30, 'Brand'), (31, 36, 'Color_type'), (37, 41, 'Prod_spec')]"
Printer and Scanner PANTUM Monochrome None None,"[(0, 19, 'Category'), (20, 26, 'Brand'), (27, 37, 'Color_type'), (38, 42, 'Print_type'), (43, 47, 'Prod_spec')]"
Printer and Scanner Samsung Monochrome None None,"[(0, 19, 'Category'), (20, 27, 'Brand'), (28, 38, 'Color_type'), (39, 43, 'Prod_spec'), (44, 48, 'Print_type')]"
None Color Epson Wireless Printer and Scanner,"[(0, 4, 'Print_type'), (5, 10, 'Color_type'), (11, 16, 'Brand'), (17, 25, 'Prod_spec'), (26, 45, 'Category')]"
Wireless Canon None Printer and Scanner Color,"[(0, 8, 'Prod_spec'), (9, 14, 'Brand'), (15, 19, 'Print_type'), (20, 39, 'Category'), (40, 45, 'Color_type')]"
Printer and Scanner HP Monochrome LaserJet None,"[(0, 19, 'Category'), (20, 22, 'Brand'), (23, 33, 'Color_type'), (34, 42, 'Print_type'), (43, 47, 'Prod_spec')]"
Epson None Printer and Scanner InkTank EcoTank Color Monochrome,"[(0, 5, 'Brand'), (6, 10, 'Prod_spec'), (11, 30, 'Category'), (31, 46, 'Print_type'), (47, 63, 'Color_type')]"
Printer and Scanner None HP LaserJet Monochrome,"[(0, 19, 'Category'), (20, 24, 'Prod_spec'), (25, 27, 'Brand'), (28, 36, 'Print_type'), (37, 47, 'Color_type')]"
Printer and Scanner HP Color None None,"[(0, 19, 'Category'), (20, 22, 'Brand'), (23, 28, 'Color_type'), (29, 33, 'Print_type'), (34, 38, 'Prod_spec')]"
None Brother None Color Printer and Scanner,"[(0, 4, 'Prod_spec'), (5, 12, 'Brand'), (13, 17, 'Print_type'), (18, 23, 'Color_type'), (24, 43, 'Category')]"
HP DeskJet Printer and Scanner Wireless Monochrome,"[(0, 2, 'Brand'), (3, 10, 'Print_type'), (11, 30, 'Category'), (31, 39, 'Prod_spec'), (40, 50, 'Color_type')]"
Color None Printer and Scanner Brother Wireless,"[(0, 5, 'Color_type'), (6, 10, 'Print_type'), (11, 30, 'Category'), (31, 38, 'Brand'), (39, 47, 'Prod_spec')]"
None Monochrome None Printer and Scanner Samsung,"[(0, 4, 'Prod_spec'), (5, 15, 'Color_type'), (16, 20, 'Print_type'), (21, 40, 'Category'), (41, 48, 'Brand')]"
None Canon Color None Printer and Scanner,"[(0, 4, 'Prod_spec'), (5, 10, 'Brand'), (11, 16, 'Color_type'), (17, 21, 'Print_type'), (22, 41, 'Category')]"
Monochrome None Printer and Scanner None PANTUM,"[(0, 10, 'Color_type'), (11, 15, 'Print_type'), (16, 35, 'Category'), (36, 40, 'Prod_spec'), (41, 47, 'Brand')]"
None HP Printer and Scanner Monochrome LaserJet,"[(0, 4, 'Prod_spec'), (5, 7, 'Brand'), (8, 27, 'Category'), (28, 38, 'Color_type'), (39, 47, 'Print_type')]"
None Monochrome Printer and Scanner Panasonic None,"[(0, 4, 'Print_type'), (5, 15, 'Color_type'), (16, 35, 'Category'), (36, 45, 'Brand'), (46, 50, 'Prod_spec')]"
None Inkjet Printer and Scanner Epson None,"[(0, 4, 'Prod_spec'), (5, 11, 'Print_type'), (12, 31, 'Category'), (32, 37, 'Brand'), (38, 42, 'Color_type')]"
Laser None Printer and Scanner Color Monochrome Brother,"[(0, 5, 'Print_type'), (6, 10, 'Prod_spec'), (11, 30, 'Category'), (31, 47, 'Color_type'), (48, 55, 'Brand')]"
Monochrome None PANTUM Printer and Scanner Laser,"[(0, 10, 'Color_type'), (11, 15, 'Prod_spec'), (16, 22, 'Brand'), (23, 42, 'Category'), (43, 48, 'Print_type')]"
Printer and Scanner None Canon None Color,"[(0, 19, 'Category'), (20, 24, 'Print_type'), (25, 30, 'Brand'), (31, 35, 'Prod_spec'), (36, 41, 'Color_type')]"
Epson Color Printer and Scanner InkTank None,"[(0, 5, 'Brand'), (6, 11, 'Color_type'), (12, 31, 'Category'), (32, 39, 'Print_type'), (40, 44, 'Prod_spec')]"
Epson Printer and Scanner Wi-Fi Color InkTank EcoTank,"[(0, 5, 'Brand'), (6, 25, 'Category'), (26, 31, 'Prod_spec'), (32, 37, 'Color_type'), (38, 53, 'Print_type')]"
Wireless Color Printer and Scanner RICHO None,"[(0, 8, 'Prod_spec'), (9, 14, 'Color_type'), (15, 34, 'Category'), (35, 40, 'Brand'), (41, 45, 'Print_type')]"
None Canon Color None Printer and Scanner,"[(0, 4, 'Prod_spec'), (5, 10, 'Brand'), (11, 16, 'Color_type'), (17, 21, 'Print_type'), (22, 41, 'Category')]"
Wireless Monochrome Samsung Printer and Scanner None,"[(0, 8, 'Prod_spec'), (9, 19, 'Color_type'), (20, 27, 'Brand'), (28, 47, 'Category'), (48, 52, 'Print_type')]"
Color INKTANK WIRELESS HP Printer and Scanner,"[(0, 5, 'Color_type'), (6, 13, 'Print_type'), (14, 22, 'Prod_spec'), (23, 25, 'Brand'), (26, 45, 'Category')]"
Color None None Printer and Scanner HP,"[(0, 5, 'Color_type'), (6, 10, 'Prod_spec'), (11, 15, 'Print_type'), (16, 35, 'Category'), (36, 38, 'Brand')]"
None None Color Printer and Scanner Canon,"[(0, 4, 'Prod_spec'), (5, 9, 'Print_type'), (10, 15, 'Color_type'), (16, 35, 'Category'), (36, 41, 'Brand')]"
Monochrome None pantum None Printer and Scanner,"[(0, 10, 'Color_type'), (11, 15, 'Print_type'), (16, 22, 'Brand'), (23, 27, 'Prod_spec'), (28, 47, 'Category')]"
Color None HP Printer and Scanner None,"[(0, 5, 'Color_type'), (6, 10, 'Print_type'), (11, 13, 'Brand'), (14, 33, 'Category'), (34, 38, 'Prod_spec')]"
None Printer and Scanner HP None Color,"[(0, 4, 'Print_type'), (5, 24, 'Category'), (25, 27, 'Brand'), (28, 32, 'Prod_spec'), (33, 38, 'Color_type')]"
Printer and Scanner None Color Canon None,"[(0, 19, 'Category'), (20, 24, 'Prod_spec'), (25, 30, 'Color_type'), (31, 36, 'Brand'), (37, 41, 'Print_type')]"
Color None OfficeJet HP Printer and Scanner,"[(0, 5, 'Color_type'), (6, 10, 'Prod_spec'), (11, 20, 'Print_type'), (21, 23, 'Brand'), (24, 43, 'Category')]"
None Printer and Scanner None Color HP,"[(0, 4, 'Prod_spec'), (5, 24, 'Category'), (25, 29, 'Print_type'), (30, 35, 'Color_type'), (36, 38, 'Brand')]"
Inktank None Brother Color Printer and Scanner,"[(0, 7, 'Print_type'), (8, 12, 'Prod_spec'), (13, 20, 'Brand'), (21, 26, 'Color_type'), (27, 46, 'Category')]"
None Printer and Scanner HP Color Wireless,"[(0, 4, 'Print_type'), (5, 24, 'Category'), (25, 27, 'Brand'), (28, 33, 'Color_type'), (34, 42, 'Prod_spec')]"
InkTank Wireless Canon Color Printer and Scanner,"[(0, 7, 'Print_type'), (8, 16, 'Prod_spec'), (17, 22, 'Brand'), (23, 28, 'Color_type'), (29, 48, 'Category')]"
Printer and Scanner None InkTank Epson Color,"[(0, 19, 'Category'), (20, 24, 'Prod_spec'), (25, 32, 'Print_type'), (33, 38, 'Brand'), (39, 44, 'Color_type')]"
None Color RICHO Wireless Printer and Scanner,"[(0, 4, 'Print_type'), (5, 10, 'Color_type'), (11, 16, 'Brand'), (17, 25, 'Prod_spec'), (26, 45, 'Category')]"
None HP Color Printer and Scanner None,"[(0, 4, 'Print_type'), (5, 7, 'Brand'), (8, 13, 'Color_type'), (14, 33, 'Category'), (34, 38, 'Prod_spec')]"
HP None Monochrome Wireless Printer and Scanner,"[(0, 2, 'Brand'), (3, 7, 'Print_type'), (8, 18, 'Color_type'), (19, 27, 'Prod_spec'), (28, 47, 'Category')]"
DeskJet Color HP Wireless Printer and Scanner,"[(0, 7, 'Print_type'), (8, 13, 'Color_type'), (14, 16, 'Brand'), (17, 25, 'Prod_spec'), (26, 45, 'Category')]"
None None None HP Printer and Scanner,"[(0, 4, 'Color_type'), (5, 9, 'Print_type'), (10, 14, 'Prod_spec'), (15, 17, 'Brand'), (18, 37, 'Category')]"
Printer and Scanner None HP OfficeJet Color,"[(0, 19, 'Category'), (20, 24, 'Prod_spec'), (25, 27, 'Brand'), (28, 37, 'Print_type'), (38, 43, 'Color_type')]"
Wireless Color Printer and Scanner Epson None,"[(0, 8, 'Prod_spec'), (9, 14, 'Color_type'), (15, 34, 'Category'), (35, 40, 'Brand'), (41, 45, 'Print_type')]"
None Epson Color Printer and Scanner None,"[(0, 4, 'Print_type'), (5, 10, 'Brand'), (11, 16, 'Color_type'), (17, 36, 'Category'), (37, 41, 'Prod_spec')]"
RICHO Wireless None Printer and Scanner Monochrome,"[(0, 5, 'Brand'), (6, 14, 'Prod_spec'), (15, 19, 'Print_type'), (20, 39, 'Category'), (40, 50, 'Color_type')]"
HP Wireless None Printer and Scanner Monochrome,"[(0, 2, 'Brand'), (3, 11, 'Prod_spec'), (12, 16, 'Print_type'), (17, 36, 'Category'), (37, 47, 'Color_type')]"
HP Color Printer and Scanner None None,"[(0, 2, 'Brand'), (3, 8, 'Color_type'), (9, 28, 'Category'), (29, 33, 'Prod_spec'), (34, 38, 'Print_type')]"
LaserJet Color Printer and Scanner HP None,"[(0, 8, 'Print_type'), (9, 14, 'Color_type'), (15, 34, 'Category'), (35, 37, 'Brand'), (38, 42, 'Prod_spec')]"
None None Color Printer and Scanner HP,"[(0, 4, 'Print_type'), (5, 9, 'Prod_spec'), (10, 15, 'Color_type'), (16, 35, 'Category'), (36, 38, 'Brand')]"
Wireless Printer and Scanner None Monochrome RICHO,"[(0, 8, 'Prod_spec'), (9, 28, 'Category'), (29, 33, 'Print_type'), (34, 44, 'Color_type'), (45, 50, 'Brand')]"
Color None HP Printer and Scanner None,"[(0, 5, 'Color_type'), (6, 10, 'Print_type'), (11, 13, 'Brand'), (14, 33, 'Category'), (34, 38, 'Prod_spec')]"
HP Color None Printer and Scanner LaserJet,"[(0, 2, 'Brand'), (3, 8, 'Color_type'), (9, 13, 'Prod_spec'), (14, 33, 'Category'), (34, 42, 'Print_type')]"
Printer and Scanner None None HP Color,"[(0, 19, 'Category'), (20, 24, 'Print_type'), (25, 29, 'Prod_spec'), (30, 32, 'Brand'), (33, 38, 'Color_type')]"
None InkTank HP Printer and Scanner Color,"[(0, 4, 'Prod_spec'), (5, 12, 'Print_type'), (13, 15, 'Brand'), (16, 35, 'Category'), (36, 41, 'Color_type')]"
None Color Printer and Scanner Epson None,"[(0, 4, 'Print_type'), (5, 10, 'Color_type'), (11, 30, 'Category'), (31, 36, 'Brand'), (37, 41, 'Prod_spec')]"
Goodluck None None Printer and Scanner Color,"[(0, 8, 'Brand'), (9, 13, 'Print_type'), (14, 18, 'Prod_spec'), (19, 38, 'Category'), (39, 44, 'Color_type')]"
Printer and Scanner Inkjet Canon Color Wireless,"[(0, 19, 'Category'), (20, 26, 'Print_type'), (27, 32, 'Brand'), (33, 38, 'Color_type'), (39, 47, 'Prod_spec')]"
HP Wireless None Printer and Scanner Monochrome,"[(0, 2, 'Brand'), (3, 11, 'Prod_spec'), (12, 16, 'Print_type'), (17, 36, 'Category'), (37, 47, 'Color_type')]"
None Color HP Printer and Scanner None,"[(0, 4, 'Prod_spec'), (5, 10, 'Color_type'), (11, 13, 'Brand'), (14, 33, 'Category'), (34, 38, 'Print_type')]"
None None Printer and Scanner Epson Color,"[(0, 4, 'Prod_spec'), (5, 9, 'Print_type'), (10, 29, 'Category'), (30, 35, 'Brand'), (36, 41, 'Color_type')]"
Monochrome Printer and Scanner None None HP,"[(0, 10, 'Color_type'), (11, 30, 'Category'), (31, 35, 'Prod_spec'), (36, 40, 'Print_type'), (41, 43, 'Brand')]"
HP Color Wireless Printer and Scanner None,"[(0, 2, 'Brand'), (3, 8, 'Color_type'), (9, 17, 'Prod_spec'), (18, 37, 'Category'), (38, 42, 'Print_type')]"
None None Printer and Scanner Canon Color,"[(0, 4, 'Prod_spec'), (5, 9, 'Print_type'), (10, 29, 'Category'), (30, 35, 'Brand'), (36, 41, 'Color_type')]"
None Canon None Printer and Scanner Color,"[(0, 4, 'Print_type'), (5, 10, 'Brand'), (11, 15, 'Prod_spec'), (16, 35, 'Category'), (36, 41, 'Color_type')]"
Wireless Color None HP Printer and Scanner,"[(0, 8, 'Prod_spec'), (9, 14, 'Color_type'), (15, 19, 'Print_type'), (20, 22, 'Brand'), (23, 42, 'Category')]"
None Color None Canon Printer and Scanner,"[(0, 4, 'Print_type'), (5, 10, 'Color_type'), (11, 15, 'Prod_spec'), (16, 21, 'Brand'), (22, 41, 'Category')]"
LaserJet kantado Printer and Scanner None Monochrome,"[(0, 8, 'Print_type'), (9, 16, 'Brand'), (17, 36, 'Category'), (37, 41, 'Prod_spec'), (42, 52, 'Color_type')]"
None Ricoh Monochrome Printer and Scanner None,"[(0, 4, 'Print_type'), (5, 10, 'Brand'), (11, 21, 'Color_type'), (22, 41, 'Category'), (42, 46, 'Prod_spec')]"
Printer and Scanner Color HP Laser None,"[(0, 19, 'Category'), (20, 25, 'Color_type'), (26, 28, 'Brand'), (29, 34, 'Print_type'), (35, 39, 'Prod_spec')]"
Monochrome HP None Wireless Printer and Scanner,"[(0, 10, 'Color_type'), (11, 13, 'Brand'), (14, 18, 'Print_type'), (19, 27, 'Prod_spec'), (28, 47, 'Category')]"
Wireless Printer and Scanner LaserJet HP Monochrome,"[(0, 8, 'Prod_spec'), (9, 28, 'Category'), (29, 37, 'Print_type'), (38, 40, 'Brand'), (41, 51, 'Color_type')]"
Color Canon None None Printer and Scanner,"[(0, 5, 'Color_type'), (6, 11, 'Brand'), (12, 16, 'Print_type'), (17, 21, 'Prod_spec'), (22, 41, 'Category')]"
Printer and Scanner Color None None Goodluck,"[(0, 19, 'Category'), (20, 25, 'Color_type'), (26, 30, 'Print_type'), (31, 35, 'Prod_spec'), (36, 44, 'Brand')]"
